12,鹿兒島中央,かごしまちゅうおう,Kagoshima-Chuo,鹿児島市
11,川内,せんだい,Sendai,鹿児島県薩摩川内市
10,出水,いずみ,Izumi,鹿児島県出水市
9,新水俣,しんみなまた,Shin-Minamata,熊本県水俣市
8,新八代,しんやつしろ,Shin-Yatsushiro,熊本県八代市
7,熊本,くまもと,Kumamoto,熊本市
6,新玉名,しんたまな,Shin-Tamana,熊本県玉名市
5,新大牟田,しんおおむた,Shin-Oomuta,福岡県大牟田市
4,筑後船小屋,ちくごふなこや,Chikugo-Funagoya,福岡県筑後市
3,久留米,くるめ,Kurume,福岡県久留米市
2,新鳥栖,しんとす,Shin-Tosu,佐賀県鳥栖市
1,博多,はかた,Hakata,福岡県福岡市
